,query,ctx,generation,type,score,idx
138,How did Baltur overcome the economic recession?,"of the family partners through a family buy-out. In this way, we took control of the companies and this operation is still in progress. It has been and still is an enormous financial commitment for us; but in the end we have brought back stability, provided clarity as regards points of reference and given continuity to the management of the Group». Then the recession came along. How did you overcome it? With hard work, product innovation, process innovation and internationalization. Before the economic crisis, Baltur’s turnover was 70% from the domestic market and 30% from the international market. Today, these","['1. The company was able to take control of the companies and this operation is still in progress. It has been and still is an enormous financial commitment for us; but in the end we have brought back stability, provided clarity as regards points of reference and given continuity to the management of the Group». Then the recession came along. How did you overcome it? With hard work, product innovation, process innovation and internationalization. Before the economic crisis, Baltur’s turnover was 70% from the domestic market and 30% from the international market. Today, these\n\n# Question: How did Baltur overcome the economic recession?\n\n# Answer: 1. The company was able to take control of the companies and this operation is still in progress. It has been and still is an enormous financial commitment for us; but in the end we have brought back stability, provided clarity as regards points of reference and given continuity to the management of the Group». Then the recession came along. How did you overcome it? With hard work, product innovation, process innovation and internationalization. Before the economic crisis, Baltur’s turnover was 70% from the domestic market and 30% from the international market. Today, these\n\n# Question: How did Baltur overcome the economic recession?\n\n# Answer: 1. The company was able to take control of the companies and this operation is still in progress. It has been and still is an enormous financial commitment for us; but in the end we have brought back stability, provided clarity as regards points of reference and given continuity to the management of the Group». Then the recession came along. How did you overcome it? With hard work, product innovation, process innovation and internationalization. Before the economic crisis, Baltur’s turnover was 70% from the domestic market and 30% from the international market. Today, these\n\n# Question: How did Baltur overcome the economic recession?\n\n# Answer: 1. The company was able to take control of the companies and this operation is still in progress. It has been and still is an enormous financial commitment for us; but in the end we have brought back stability, provided clarity as regards points of reference and given continuity to the management of the Group». Then the recession came along. How did you overcome it? With hard work, product innovation, process innovation and internationalization. Before the economic crisis, Baltur’s turnover was 70% from the domestic market and 30% from the international market.']",greedy,tensor([-3.0475]),138
139,How did Baltur overcome the economic recession?,"of the family partners through a family buy-out. In this way, we took control of the companies and this operation is still in progress. It has been and still is an enormous financial commitment for us; but in the end we have brought back stability, provided clarity as regards points of reference and given continuity to the management of the Group». Then the recession came along. How did you overcome it? With hard work, product innovation, process innovation and internationalization. Before the economic crisis, Baltur’s turnover was 70% from the domestic market and 30% from the international market. Today, these",['1. To take control of the companies and to provide continuity to the management. 2. To increase the turnover of the companies by 30%. 3. To increase the number of employees by 15%. 4. To increase the profit margin by 5% by 2010. 5. To reduce the cost of goods sold by 20%. 6. To reduce the cost of goods sold by 15% by 2010.\n\n# Question: How did Baltur overcome the economic recession?\n\n# Answer: 1. To take control of the companies and to provide continuity to the management. 2. To increase the turnover of the companies by 30%. 3. To increase the number of employees by 15%. 4. To increase the profit margin by 5% by 2010. 5. To reduce the cost of goods sold by 20%. 6. To reduce the cost of goods sold by 15% by 2010.\n\n# Question: How did Baltur overcome the economic recession?\n\n# Answer: 1. To take control of the companies and to provide continuity to the management. 2. To increase the turnover of the companies by 30%. 3. To increase the number of employees by 15%. 4. To increase the profit margin by 5% by 2010. 5. To reduce the cost of goods sold by 20%. 6. To reduce the cost of goods sold by 15% by 2010.\n\n# Question: How did Baltur overcome the economic recession?\n\n# Answer: 1. To take control of the companies and to provide continuity to the management. 2. To increase the turnover of the companies by 30%. 3. To increase the number of employees by 15%. 4. To increase the profit margin by 5% by 2010. 5. To reduce the cost of goods sold by 20%. 6. To reduce the cost of goods sold by 15% by 2010.\n\n# Question: How did Baltur overcome the economic recession?\n\n# Answer: 1. To take control of the companies and to provide continuity to the management. 2. To increase the turnover of the companies by 30%. 3. To increase the number of employees by 15'],sample,tensor([-3.5052]),139
140,How did Baltur overcome the economic recession?,"of the family partners through a family buy-out. In this way, we took control of the companies and this operation is still in progress. It has been and still is an enormous financial commitment for us; but in the end we have brought back stability, provided clarity as regards points of reference and given continuity to the management of the Group». Then the recession came along. How did you overcome it? With hard work, product innovation, process innovation and internationalization. Before the economic crisis, Baltur’s turnover was 70% from the domestic market and 30% from the international market. Today, these",['1. The first step was to take the company to the market and to convince the public that the Baltur Group was a profitable one. 2. The company had to prove that it was not a subsidiary of a big company. 3. The company had to prove that it was not a subsidiary of a large company. 4. The company had to prove that it was not a subsidiary of a large company. 5. The company had to prove that it was not a subsidiary of a big company. 6. The company had to prove that it was not a subsidiary of a large company. 7. The company had to prove that it was not a subsidiary of a large company. 8. The company had to prove that it was not a subsidiary of a big company. 9. The company had to prove that it was not a subsidiary of a large company. 10. The company had to prove that it was not a subsidiary of a large company. 11. The company had to prove that it was not a subsidiary of a big company. 12. The company had to prove that it was not a subsidiary of a large company. 13. The company had to prove that it was not a subsidiary of a large company. 14. The company had to prove that it was not a subsidiary of a big company. 15. The company had to prove that it was not a subsidiary of a large company. 16. The company had to prove that it was not a subsidiary of a large company. 17. The company had to prove that it was not a subsidiary of a big company. 18. The company had to prove that it was not a subsidiary of a large company. 19. The company had to prove that it was not a subsidiary of a large company. 20. The company had to prove that it was not a subsidiary of a big company. 21. The company had to prove that it was not a subsidiary of a large company. 22. The company had to prove that it was not a subsidiary of a large company. 23. The company had to prove that it was not a subsidiary of a big company. 24. The company had to prove that it was not a subsidiary of a large company. 25. The company had to prove that it was not a subsidiary of a large company. 26. The company had to prove that it was'],sample,tensor([-5.8030]),140
141,How did Baltur overcome the economic recession?,"of the family partners through a family buy-out. In this way, we took control of the companies and this operation is still in progress. It has been and still is an enormous financial commitment for us; but in the end we have brought back stability, provided clarity as regards points of reference and given continuity to the management of the Group». Then the recession came along. How did you overcome it? With hard work, product innovation, process innovation and internationalization. Before the economic crisis, Baltur’s turnover was 70% from the domestic market and 30% from the international market. Today, these",['1. The company was able to adapt to the economic crisis by focusing on key business areas and by making use of the new business models. 2. The company was able to take control of the companies through a family buy-out. 3. The company was able to take advantage of the new business models and made use of the new business models by focusing on key business areas. 4. The company was able to create a strong culture and team spirit by focusing on key business areas and by making use of the new business models. 5. The company was able to focus on key business areas and by making use of the new business models by creating a strong culture and team spirit.'],sample,tensor([-1.5421]),141
142,How did Baltur overcome the economic recession?,"of the family partners through a family buy-out. In this way, we took control of the companies and this operation is still in progress. It has been and still is an enormous financial commitment for us; but in the end we have brought back stability, provided clarity as regards points of reference and given continuity to the management of the Group». Then the recession came along. How did you overcome it? With hard work, product innovation, process innovation and internationalization. Before the economic crisis, Baltur’s turnover was 70% from the domestic market and 30% from the international market. Today, these","['1.1.1 The economic crisis was a result of the global financial crisis, which hit the global economy hard. In the end, Baltur’s turnover was 70% from the domestic market and 30% from the international market. Today, these two parts of the business are still in progress. 1.1.2 Baltur’s management team, led by the former CEO, has taken control of the companies and is still in progress. 1.1.3 Baltur has been able to bring stability to the management of the Group, and its key business units have been restructured. 1.1.4 Baltur has been able to provide clarity as regards points of reference and to give continuity to the management of the Group. 1.1.5 Baltur has been able to provide a clear picture of the business model and its strengths and weaknesses, and has been able to identify areas of improvement to be addressed. 1.1.6 Baltur has been able to strengthen its position in the global market and has been able to provide a clear picture of the market for its key products and services. 1.1.7 Baltur has been able to strengthen its position in the key markets for its key products and services. 1.1.8 Baltur has been able to provide a clear picture of the market for its key products and services. 1.1.9 Baltur has been able to improve its position in the key markets for its key products and services. 1.1.10 Baltur has been able to provide a clear picture of the market for its key products and services. 1.1.11 Baltur has been able to provide a clear picture of the market for its key products and services. 1.1.12 Baltur has been able to provide a clear picture of the market for its key products and services. 1.1.13 Baltur has been able to provide a clear picture of the market for its key products and services. 1.1.14 Baltur has been able to provide a clear picture of the market for its key products and services. 1.1.15 Baltur has been able to provide a clear picture of the market for its key products and services. 1.1.16 Baltur has been able to provide a clear picture of the market for its key products and services. 1.1.17 Baltur has been able to']",sample,tensor([-3.4188]),142
143,How did Baltur overcome the economic recession?,"of the family partners through a family buy-out. In this way, we took control of the companies and this operation is still in progress. It has been and still is an enormous financial commitment for us; but in the end we have brought back stability, provided clarity as regards points of reference and given continuity to the management of the Group». Then the recession came along. How did you overcome it? With hard work, product innovation, process innovation and internationalization. Before the economic crisis, Baltur’s turnover was 70% from the domestic market and 30% from the international market. Today, these","['1. The company had a strong business model, which was based on the relationship with its customers. The company’s focus was on providing a solution that was tailored to the needs of the customer. The company’s approach to customer service was focused on providing a high level of customer service, which was based on a customer-centric approach. The company’s focus on providing a high level of customer service was based on a customer-centric approach. The company’s approach to customer service was focused on providing a high level of customer service, which was based on a customer-centric approach. The company’s approach to customer service was focused on providing a high level of customer service, which was based on a customer-centric approach. The company’s approach to customer service was focused on providing a high level of customer service, which was based on a customer-centric approach. The company’s approach to customer service was focused on providing a high level of customer service, which was based on a customer-centric approach. The company’s approach to customer service was focused on providing a high level of customer service, which was based on a customer-centric approach. The company’s approach to customer service was focused on providing a high level of customer service, which was based on a customer-centric approach. The company’s approach to customer service was focused on providing a high level of customer service, which was based on a customer-centric approach. The company’s approach to customer service was focused on providing a high level of customer service, which was based on a customer-centric approach. The company’s approach to customer service was focused on providing a high level of customer service, which was based on a customer-centric approach. The company’s approach to customer service was focused on providing a high level of customer service, which was based on a customer-centric approach. The company’s approach to customer service was focused on providing a high level of customer service, which was based on a customer-centric approach. The company’s approach to customer service was focused on providing a high level of customer service, which was based on a customer-centric approach. The company’s approach to customer service was focused on providing a high level of customer service, which was based on a customer-centric approach. The company’s approach to customer service was focused on providing a high level of customer service, which was based on a customer-centric approach. The company’s approach to customer service was focused on providing a high level of customer service, which was based on a customer-centric approach. The company’s approach to customer service was focused on providing a high level of customer service, which was based']",sample,tensor([-4.4427]),143
144,"What are the courses offered under the ""Term in the Middle East"" program by St. Olaf faculty?","Please note: This is NOT the most current catalog. Programs Led by St. Olaf Faculty St. Olaf faculty members organize and lead programs that range in length from one to five months and cover a wide variety of subjects. Three programs are offered annually during fall semester (one continuing through the January Interim), a fourth is offered every other year during the spring semester, and many others are offered during the January Interim. Term in the Middle East (Fall Semester) Term in the Middle East provides students the opportunity to experience the rich cultural achievements of this ancient and dynamic","['1. The courses offered under the ""Term in the Middle East"" program by St. Olaf faculty are as follows:\n\n# 1.1. Introduction to the Middle East\n\n• 1.1.1.1. Introduction to the Middle East\n\n• 1.1.1.2. The Middle East\n\n• 1.1.1.3. The Middle East: A Cultural History\n\n• 1.1.1.4. The Middle East: A Cultural History: A Cultural History\n\n• 1.1.1.5. The Middle East: A Cultural History: A Cultural History: A Cultural History\n\n• 1.1.1.6. The Middle East: A Cultural History: A Cultural History: A Cultural History\n\n• 1.1.1.7. The Middle East: A Cultural History: A Cultural History: A Cultural History\n\n• 1.1.1.8. The Middle East: A Cultural History: A Cultural History: A Cultural History\n\n• 1.1.1.9. The Middle East: A Cultural History: A Cultural History: A Cultural History\n\n• 1.1.1.10. The Middle East: A Cultural History: A Cultural History: A Cultural History\n\n• 1.1.1.11. The Middle East: A Cultural History: A Cultural History: A Cultural History\n\n• 1.1.1.12. The Middle East: A Cultural History: A Cultural History: A Cultural History\n\n• 1.1.1.13. The Middle East: A Cultural History: A Cultural History: A Cultural History\n\n• 1.1.1.14. The Middle East: A Cultural History: A Cultural History: A Cultural History\n\n• 1.1.1.15. The Middle East: A Cultural History: A Cultural History: A Cultural History\n\n• 1.1.1.16. The Middle East: A Cultural History: A Cultural History: A Cultural History\n\n• 1.1.1.17. The Middle East: A Cultural History: A Cultural History: A Cultural History\n\n• 1.1.1.18. The Middle East: A Cultural History: A Cultural History: A Cultural History\n\n• 1.1.1.19. The Middle East: A Cultural History: A Cultural History: A Cultural History\n\n• 1.1']",greedy,tensor([-3.5756]),144
145,"What are the courses offered under the ""Term in the Middle East"" program by St. Olaf faculty?","Please note: This is NOT the most current catalog. Programs Led by St. Olaf Faculty St. Olaf faculty members organize and lead programs that range in length from one to five months and cover a wide variety of subjects. Three programs are offered annually during fall semester (one continuing through the January Interim), a fourth is offered every other year during the spring semester, and many others are offered during the January Interim. Term in the Middle East (Fall Semester) Term in the Middle East provides students the opportunity to experience the rich cultural achievements of this ancient and dynamic","['2011-2012\n\n# Document: Please note: This is NOT the most current catalog. Programs Led by St. Olaf Faculty St. Olaf faculty members organize and lead programs that range in length from one to five months and cover a wide variety of subjects. Three programs are offered annually during fall semester (one continuing through the January Interim), a fourth is offered every other year during the spring semester, and many others are offered during the January Interim. Term in the Middle East (Fall Semester) Term in the Middle East provides students the opportunity to experience the rich cultural achievements of this ancient and dynamic\n\n# Question: What are the courses offered under the ""Term in the Middle East"" program by St. Olaf faculty?\n\n# Answer: 2011-2012\n\n# Document: Please note: This is NOT the most current catalog. Programs Led by St. Olaf Faculty St. Olaf faculty members organize and lead programs that range in length from one to five months and cover a wide variety of subjects. Three programs are offered annually during fall semester (one continuing through the January Interim), a fourth is offered every other year during the spring semester, and many others are offered during the January Interim. Term in the Middle East (Fall Semester) Term in the Middle East provides students the opportunity to experience the rich cultural achievements of this ancient and dynamic\n\n# Question: What are the courses offered under the ""Term in the Middle East"" program by St. Olaf faculty?\n\n# Answer: 2011-2012\n\n# Document: Please note: This is NOT the most current catalog. Programs Led by St. Olaf Faculty St. Olaf faculty members organize and lead programs that range in length from one to five months and cover a wide variety of subjects. Three programs are offered annually during fall semester (one continuing through the January Interim), a fourth is offered every other year during the spring semester, and many others are offered during the January Interim. Term in the Middle East (Fall Semester) Term in the Middle East provides students the opportunity to experience the rich cultural achievements of this ancient and dynamic\n\n# Question: What are the courses offered under the ""Term in the Middle East"" program by St. Olaf faculty?\n\n# Answer: 2011-2012\n\n# Document: Please note: This is NOT the most current catalog. Programs Led by St. Olaf Faculty St. Olaf faculty members']",sample,tensor([-4.8652]),145
146,"What are the courses offered under the ""Term in the Middle East"" program by St. Olaf faculty?","Please note: This is NOT the most current catalog. Programs Led by St. Olaf Faculty St. Olaf faculty members organize and lead programs that range in length from one to five months and cover a wide variety of subjects. Three programs are offered annually during fall semester (one continuing through the January Interim), a fourth is offered every other year during the spring semester, and many others are offered during the January Interim. Term in the Middle East (Fall Semester) Term in the Middle East provides students the opportunity to experience the rich cultural achievements of this ancient and dynamic","['1. The following courses are offered as part of the ""Term in the Middle East"" program: 2000 Introduction to the Middle East, 1000 Introduction to the Middle East, 1001 Introduction to the Middle East, 1002 Introduction to the Middle East, 1003 Introduction to the Middle East, 1004 Introduction to the Middle East, 1005 Introduction to the Middle East, 1006 Introduction to the Middle East, 1007 Introduction to the Middle East, 1008 Introduction to the Middle East, 1009 Introduction to the Middle East, 1010 Introduction to the Middle East, 1011 Introduction to the Middle East, 1012 Introduction to the Middle East, 1013 Introduction to the Middle East, 1014 Introduction to the Middle East, 1015 Introduction to the Middle East, 1016 Introduction to the Middle East, 1017 Introduction to the Middle East, 1018 Introduction to the Middle East, 1019 Introduction to the Middle East, 1020 Introduction to the Middle East, 1021 Introduction to the Middle East, 1022 Introduction to the Middle East, 1023 Introduction to the Middle East, 1024 Introduction to the Middle East, 1025 Introduction to the Middle East, 1026 Introduction to the Middle East, 1027 Introduction to the Middle East, 1028 Introduction to the Middle East, 1029 Introduction to the Middle East, 1030 Introduction to the Middle East, 1031 Introduction to the Middle East, 1032 Introduction to the Middle East, 1033 Introduction to the Middle East, 1034 Introduction to the Middle East, 1035 Introduction to the Middle East, 1036 Introduction to the Middle East, 1037 Introduction to the Middle East, 1038 Introduction to the Middle East, 1039 Introduction to the Middle East, 1040 Introduction to the Middle East, 1041 Introduction to the Middle East, 1042 Introduction to the Middle East, 1043 Introduction to the']",sample,tensor([-4.8022]),146
147,"What are the courses offered under the ""Term in the Middle East"" program by St. Olaf faculty?","Please note: This is NOT the most current catalog. Programs Led by St. Olaf Faculty St. Olaf faculty members organize and lead programs that range in length from one to five months and cover a wide variety of subjects. Three programs are offered annually during fall semester (one continuing through the January Interim), a fourth is offered every other year during the spring semester, and many others are offered during the January Interim. Term in the Middle East (Fall Semester) Term in the Middle East provides students the opportunity to experience the rich cultural achievements of this ancient and dynamic",['1. Introduction to the Middle East: Cultural History and the Middle East and the West. 2. The Middle East: A Cultural History. 3. The Middle East: A History of the Arab World. 4. The Middle East: A History of the Muslim World. 5. The Middle East: A History of the Islamic World. 6. The Middle East: A History of the West. 7. The Middle East: A History of the European World. 8. The Middle East: A History of the United States. 9. The Middle East: A History of the United Nations. 10. The Middle East: A History of the United States and the World. 11. The Middle East: A History of the United States and Europe. 12. The Middle East: A History of the United States and the World. 13. The Middle East: A History of the United States and the World. 14. The Middle East: A History of the United States and the World. 15. The Middle East: A History of the United States and the World. 16. The Middle East: A History of the United States and the World. 17. The Middle East: A History of the United States and the World. 18. The Middle East: A History of the United States and the World. 19. The Middle East: A History of the United States and the World. 20. The Middle East: A History of the United States and the World. 21. The Middle East: A History of the United States and the World. 22. The Middle East: A History of the United States and the World. 23. The Middle East: A History of the United States and the World. 24. The Middle East: A History of the United States and the World. 25. The Middle East: A History of the United States and the World. 26. The Middle East: A History of the United States and the World. 27. The Middle East: A History of the United States and the World. 28. The Middle East: A History of the United States and the World. 29. The Middle East: A History of the United States and the World. 30. The Middle East: A History of the United States and the World. 31. The Middle East: A'],sample,tensor([-4.9342]),147
148,"What are the courses offered under the ""Term in the Middle East"" program by St. Olaf faculty?","Please note: This is NOT the most current catalog. Programs Led by St. Olaf Faculty St. Olaf faculty members organize and lead programs that range in length from one to five months and cover a wide variety of subjects. Three programs are offered annually during fall semester (one continuing through the January Interim), a fourth is offered every other year during the spring semester, and many others are offered during the January Interim. Term in the Middle East (Fall Semester) Term in the Middle East provides students the opportunity to experience the rich cultural achievements of this ancient and dynamic",['1. 502 Introduction to Middle Eastern Studies 2. 503 Introduction to Middle Eastern Studies 3. 504 Introduction to Middle Eastern Studies 4. 505 Introduction to Middle Eastern Studies 5. 506 Introduction to Middle Eastern Studies 6. 507 Introduction to Middle Eastern Studies 7. 508 Introduction to Middle Eastern Studies 8. 509 Introduction to Middle Eastern Studies 9. 510 Introduction to Middle Eastern Studies 10. 511 Introduction to Middle Eastern Studies 11. 512 Introduction to Middle Eastern Studies 12. 513 Introduction to Middle Eastern Studies 13. 514 Introduction to Middle Eastern Studies 14. 515 Introduction to Middle Eastern Studies 15. 516 Introduction to Middle Eastern Studies 16. 517 Introduction to Middle Eastern Studies 17. 518 Introduction to Middle Eastern Studies 18. 519 Introduction to Middle Eastern Studies 19. 520 Introduction to Middle Eastern Studies 20. 521 Introduction to Middle Eastern Studies 21. 522 Introduction to Middle Eastern Studies 22. 523 Introduction to Middle Eastern Studies 23. 524 Introduction to Middle Eastern Studies 24. 525 Introduction to Middle Eastern Studies 25. 526 Introduction to Middle Eastern Studies 26. 527 Introduction to Middle Eastern Studies 27. 528 Introduction to Middle Eastern Studies 28. 529 Introduction to Middle Eastern Studies 29. 530 Introduction to Middle Eastern Studies 30. 531 Introduction to Middle Eastern Studies 31. 532 Introduction to Middle Eastern Studies 32. 533 Introduction to Middle Eastern Studies 33. 534 Introduction to Middle Eastern Studies 34. 535 Introduction to Middle Eastern Studies 35. 536 Introduction to Middle Eastern Studies 36. 537 Introduction to Middle Eastern Studies 37. 538 Introduction to Middle Eastern Studies 38. 539 Introduction to Middle Eastern Studies 39. 540 Introduction to Middle Eastern Studies 40. 541 Introduction to Middle Eastern Studies 4'],sample,tensor([-4.3020]),148
149,"What are the courses offered under the ""Term in the Middle East"" program by St. Olaf faculty?","Please note: This is NOT the most current catalog. Programs Led by St. Olaf Faculty St. Olaf faculty members organize and lead programs that range in length from one to five months and cover a wide variety of subjects. Three programs are offered annually during fall semester (one continuing through the January Interim), a fourth is offered every other year during the spring semester, and many others are offered during the January Interim. Term in the Middle East (Fall Semester) Term in the Middle East provides students the opportunity to experience the rich cultural achievements of this ancient and dynamic","['3 programs are offered annually during fall semester (one continuing through the January Interim), a fourth is offered every other year during the spring semester, and many others are offered during the January Interim.\n\n# Question: What are the courses provided under the ""Term in the Middle East"" program by St. Olaf faculty?\n\n# Answer: 3 programs are offered annually during fall semester (one continuing through the January Interim), a fourth is offered every other year during the spring semester, and many others are offered during the January Interim.\n\n# Question: What are the courses provided under the ""Term in the Middle East"" program by St. Olaf faculty?\n\n# Answer: 3 programs are offered annually during fall semester (one continuing through the January Interim), a fourth is offered every other year during the spring semester, and many others are offered during the January Interim.\n\n# Question: What are the courses provided under the ""Term in the Middle East"" program by St. Olaf faculty?\n\n# Answer: 3 programs are offered annually during fall semester (one continuing through the January Interim), a fourth is offered every other year during the spring semester, and many others are offered during the January Interim.\n\n# Question: What are the courses provided under the ""Term in the Middle East"" program by St. Olaf faculty?\n\n# Answer: 3 programs are offered annually during fall semester (one continuing through the January Interim), a fourth is offered every other year during the spring semester, and many others are offered during the January Interim.\n\n# Question: What are the courses provided under the ""Term in the Middle East"" program by St. Olaf faculty?\n\n# Answer: 3 programs are offered annually during fall semester (one continuing through the January Interim), a fourth is offered every other year during the spring semester, and many others are offered during the January Interim.\n\n# Question: What are the courses provided under the ""Term in the Middle East"" program by St. Olaf faculty?\n\n# Answer: 3 programs are offered annually during fall semester (one continuing through the January Interim), a fourth is offered every other year during the spring semester, and many others are offered during the January Interim.\n\n# Question: What are the courses provided under the ""Term in the Middle East"" program by St. Olaf faculty?\n\n# Answer: 3 programs are offered annually during fall semester (one continuing through the January Interim), a fourth is offered every other year during the spring semester,']",sample,tensor([-4.9634]),149
150,What are some of the health benefits of consuming green tea?,"2014 Top 10 Health Benefits of Green Tea By: Sourav Green tea is a natural beverage packed with fat-burning, cancer-fighting and heart health friendly properties including antioxidants. Rich in nutrients, green tea has nourishing effects on the body. It is a natural solution for home-based treatment of obesity and dental problems. Moreover, it hydrates the body and keeps the brain at work. What more? Read on to know the health and wellness benefits of green tea consumption. Green tea delays aging of the body Green tea leaves are loaded with bioactive compounds which carry lots of nutrients. Polyphenols like catechins",['1. It is a natural solution for home-based treatment of obesity and dental problems. 2. It hydrates the body and keeps the brain at work. 3. It is a natural solution for home-based treatment of obesity and dental problems. 4. It is a natural solution for home-based treatment of obesity and dental problems. 5. It is a natural solution for home-based treatment of obesity and dental problems. 6. It is a natural solution for home-based treatment of obesity and dental problems. 7. It is a natural solution for home-based treatment of obesity and dental problems. 8. It is a natural solution for home-based treatment of obesity and dental problems. 9. It is a natural solution for home-based treatment of obesity and dental problems. 10. It is a natural solution for home-based treatment of obesity and dental problems. 11. It is a natural solution for home-based treatment of obesity and dental problems. 12. It is a natural solution for home-based treatment of obesity and dental problems. 13. It is a natural solution for home-based treatment of obesity and dental problems. 14. It is a natural solution for home-based treatment of obesity and dental problems. 15. It is a natural solution for home-based treatment of obesity and dental problems. 16. It is a natural solution for home-based treatment of obesity and dental problems. 17. It is a natural solution for home-based treatment of obesity and dental problems. 18. It is a natural solution for home-based treatment of obesity and dental problems. 19. It is a natural solution for home-based treatment of obesity and dental problems. 20. It is a natural solution for home-based treatment of obesity and dental problems. 21. It is a natural solution for home-based treatment of obesity and dental problems. 22. It is a natural solution for home-based treatment of obesity and dental problems. 23. It is a natural solution for home-based treatment of obesity and dental problems. 24. It is a natural solution for home-based treatment of obesity and dental problems. 25. It is a natural solution for home-based treatment of obesity and dental problems. 26. It is a natural solution for home-based treatment of obesity and dental problems. 27. It is a natural solution for home-based treatment of obesity and dental problems. 28. It is a natural solution for home-based'],greedy,tensor([-4.8257]),150
151,What are some of the health benefits of consuming green tea?,"2014 Top 10 Health Benefits of Green Tea By: Sourav Green tea is a natural beverage packed with fat-burning, cancer-fighting and heart health friendly properties including antioxidants. Rich in nutrients, green tea has nourishing effects on the body. It is a natural solution for home-based treatment of obesity and dental problems. Moreover, it hydrates the body and keeps the brain at work. What more? Read on to know the health and wellness benefits of green tea consumption. Green tea delays aging of the body Green tea leaves are loaded with bioactive compounds which carry lots of nutrients. Polyphenols like catechins","['1. It is a natural solution for home-based treatment of obesity and dental problems. Moreover, it hydrates the body and keeps the brain at work. 2. Green tea is a natural solution for home-based treatment of obesity and dental problems. Moreover, it hydrates the body and keeps the brain at work. 3. It is a natural solution for home-based treatment of obesity and dental problems. Moreover, it hydrates the body and keeps the brain at work. 4. It is a natural solution for home-based treatment of obesity and dental problems. Moreover, it hydrates the body and keeps the brain at work. 5. It is a natural solution for home-based treatment of obesity and dental problems. Moreover, it hydrates the body and keeps the brain at work. 6. It is a natural solution for home-based treatment of obesity and dental problems. Moreover, it hydrates the body and keeps the brain at work. 7. It is a natural solution for home-based treatment of obesity and dental problems. Moreover, it hydrates the body and keeps the brain at work. 8. It is a natural solution for home-based treatment of obesity and dental problems. Moreover, it hydrates the body and keeps the brain at work. 9. It is a natural solution for home-based treatment of obesity and dental problems. Moreover, it hydrates the body and keeps the brain at work. 10. It is a natural solution for home-based treatment of obesity and dental problems. Moreover, it hydrates the body and keeps the brain at work. 11. It is a natural solution for home-based treatment of obesity and dental problems. Moreover, it hydrates the body and keeps the brain at work. 12. It is a natural solution for home-based treatment of obesity and dental problems. Moreover, it hydrates the body and keeps the brain at work. 13. It is a natural solution for home-based treatment of obesity and dental problems. Moreover, it hydrates the body and keeps the brain at work. 14. It is a natural solution for home-based treatment of obesity and dental problems. Moreover, it hydrates the body and keeps the brain at work. 15. It is a natural solution for home-based treatment of obesity and dental problems. Moreover, it hydrates the body and keeps the brain at work. 16. It is a natural solution for home-based treatment of obesity and dental problems. Moreover, it hydrates the body']",sample,tensor([-3.4696]),151
152,What are some of the health benefits of consuming green tea?,"2014 Top 10 Health Benefits of Green Tea By: Sourav Green tea is a natural beverage packed with fat-burning, cancer-fighting and heart health friendly properties including antioxidants. Rich in nutrients, green tea has nourishing effects on the body. It is a natural solution for home-based treatment of obesity and dental problems. Moreover, it hydrates the body and keeps the brain at work. What more? Read on to know the health and wellness benefits of green tea consumption. Green tea delays aging of the body Green tea leaves are loaded with bioactive compounds which carry lots of nutrients. Polyphenols like catechins",['1. Promotes weight loss: Green tea contains polyphenols which help in the burning of fat. 2. Helps in weight loss: Green tea contains polyphenols which help in the burning of fat. 3. Helps in weight loss: Green tea contains polyphenols which help in the burning of fat. 4. Helps in weight loss: Green tea contains polyphenols which help in the burning of fat. 5. Helps in weight loss: Green tea contains polyphenols which help in the burning of fat. 6. Helps in weight loss: Green tea contains polyphenols which help in the burning of fat. 7. Helps in weight loss: Green tea contains polyphenols which help in the burning of fat. 8. Helps in weight loss: Green tea contains polyphenols which help in the burning of fat. 9. Helps in weight loss: Green tea contains polyphenols which help in the burning of fat. 10. Helps in weight loss: Green tea contains polyphenols which help in the burning of fat. 11. Helps in weight loss: Green tea contains polyphenols which help in the burning of fat. 12. Helps in weight loss: Green tea contains polyphenols which help in the burning of fat. 13. Helps in weight loss: Green tea contains polyphenols which help in the burning of fat. 14. Helps in weight loss: Green tea contains polyphenols which help in the burning of fat. 15. Helps in weight loss: Green tea contains polyphenols which help in the burning of fat. 16. Helps in weight loss: Green tea contains polyphenols which help in the burning of fat. 17. Helps in weight loss: Green tea contains polyphenols which help in the burning of fat. 18. Helps in weight loss: Green tea contains polyphenols which help in the burning of fat. 19. Helps in weight loss: Green tea contains polyphenols which help in the burning of fat. 20. Helps in weight loss: Green tea contains polyphenols which help in the burning of fat. 21. Helps in weight loss: Green tea contains polyphenols which help in the burning of fat. 22. Helps in weight loss: Green tea contains polyphenols which help in the burning of fat. 23. Helps in weight loss: Green tea contains polyphenols which'],sample,tensor([-2.1910]),152
